location_id,name,type,latitude,longitude
L01,Whitefield Junction Tower,cell_tower,12.99259,77.569698
L02,Old Silk Board Warehouse,warehouse,12.984337,77.562026
L03,KR Market Wholesale Complex,market,13.029923,77.585446
L04,Yeshwantpur Freight Yard,transport_hub,12.899581,77.469208
L05,Electronic City Phase 2 Lodge,lodge,12.854207,77.616176
L06,Hebbal Flyover CCTV Point,surveillance_point,12.967688,77.452157
L07,Majestic Bus Terminus,transport_hub,12.991568,77.467662
L08,Indiranagar 100ft Road Office,office,12.86348,77.459424
L09,Bannerghatta Road Godown,warehouse,12.916086,77.604247
L10,Malleshwaram Residency,residence,12.905695,77.595624
